TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
7:00:00 PM,62.29235615,-64.51257313,78.49700432,26.53755254,99.50789678,-18.05994851,-12.49928146,-95.07992304,-90.18983382,-9.358104764,-43.96093457,-44.32891724,46.98513014,16.60155943,59.02355904,54.51933997,46.75818029,85.21405219,-47.82061356,-67.98316836,72.2252879,89.56863389,4.353715899,35.00399663,93.36895631,0.451548338,-48.85552803,-3.860577997,-41.9575379,-16.79653251,-96.26853574,65.25418203,0,0,1,0,1,44.1095219,88.70119073
7:00:01 PM,68.73118253,59.72157539,82.76310262,-82.09800025,-70.7106903,-55.33272336,98.64658134,-82.71684594,-22.09540354,28.92002585,-75.06586859,-71.92208816,43.00965129,45.80650045,-88.97999174,-18.9549884,7.846935329,95.66105794,-28.86742712,3.535301591,-8.042666144,-69.14211632,-81.16966636,-48.04562446,-83.10049173,-43.84467364,-41.32759681,56.25706637,-33.56246536,87.32338721,-46.73557722,-73.82502237,1,1,1,0,0,67.36149793,76.74771233
7:00:02 PM,89.16762035,-78.72534261,-1.249977913,-79.78636556,-96.06973048,52.50978961,-41.67653269,-43.95910264,26.17029576,-5.287058497,33.33641213,-49.12398702,23.91728678,97.75144402,20.25013501,-8.732407855,93.59248238,-63.28839349,21.57098242,-76.26223246,66.29643398,-18.96456579,18.03456292,-43.9642582,51.02494409,46.46006777,-47.06998002,10.42201199,50.43326718,26.75425934,-24.33880372,67.68548455,0,1,1,0,0,83.45757072,96.19503481
7:00:03 PM,-36.12246863,61.37427499,86.32096744,95.83385671,-70.46880766,69.66741632,-27.22842579,71.24680061,-53.91244136,43.28174606,-91.09521404,-2.282870288,-92.44238172,42.69926318,19.10068316,3.840100366,-52.69536255,-27.98399935,-71.07732772,84.59938814,-46.64694915,47.41144579,-52.42465616,13.31674117,-26.58898027,53.99553711,-17.88039849,92.36657125,-45.43141252,58.78231854,-22.39128219,-9.368073278,0,0,0,0,1,85.70018126,49.22954487
7:00:04 PM,93.53077313,22.49464985,56.31339384,-89.05247724,69.5583754,12.7203223,-66.11237183,15.00326467,-66.2496252,79.06219992,76.68953604,75.05970538,4.383262446,-55.66490215,41.71983345,-0.135478945,52.47932378,-88.45895614,-95.00162604,9.717274357,-99.94898301,-52.80368288,47.78997376,-19.67848544,66.14520947,-25.53601635,-65.73107756,-32.70017476,84.39379359,69.51178838,-87.2499788,55.05701856,0,0,0,0,1,44.74851666,17.04535056
7:00:05 PM,7.984117645,92.48836249,24.04283841,59.04000407,97.91817903,76.05859969,-82.50922494,87.54690932,35.5219926,-19.67032767,47.98111394,81.25501575,37.53370916,-10.04864051,-64.08536097,73.68692107,-81.48728398,-24.74928646,97.16533925,-46.22948736,52.47563154,-9.177622391,76.21504079,-50.01100905,-41.0281031,-7.125160554,-56.3595998,-78.80522551,81.56351481,-50.78374367,3.574269737,-44.73331456,0,1,0,1,1,75.84948789,91.87033557
7:00:06 PM,-24.68686523,65.50186517,83.01702433,-86.65227393,-83.00650809,55.70295935,-47.15415437,-38.78172099,-25.12865911,17.62638547,-34.87240883,21.96431614,-15.83744343,-3.686273936,64.08872141,-14.22942373,61.10616051,-61.46318576,-69.5544515,31.06805001,43.26358864,-21.74607747,52.41730838,-72.77390205,95.80796285,-45.23060209,-64.70623107,0.584214902,-9.082253796,56.38631225,4.477646427,24.43429069,0,0,0,1,1,6.747920475,61.54667009
7:00:07 PM,-35.73575017,88.50998227,-93.49245205,96.82676708,22.34030886,-58.89665299,-97.7373258,-49.66485125,81.39790366,26.57596166,-59.10383977,18.74039015,4.453251856,73.38243709,-47.78439616,81.48051997,-23.03570242,-71.34096448,-85.13809482,85.64728148,-57.23072673,75.60912956,-56.34507074,29.40891911,82.87917598,29.81249307,34.55330308,16.32366619,-17.56730694,-89.46242366,-81.17976709,64.20616083,0,0,1,1,1,36.56591834,60.15528157
7:00:08 PM,-36.16156778,-80.44998837,6.56226643,60.77821508,-57.017079,60.20646791,-42.12491582,81.89471161,42.4450659,81.15160959,-81.74850676,-12.69314849,-33.61193797,33.17898127,-1.305767517,-80.15282021,-66.46273214,-90.89799561,78.92721281,-13.48130196,-57.83413452,90.33221885,88.1230163,-31.68363109,11.45378855,-62.76753584,65.8997884,17.91364705,22.0329762,-41.43773562,43.73383205,28.03289227,1,1,1,1,0,99.19372719,73.20322679
7:00:09 PM,23.57893433,-34.86883533,-96.4909922,-45.79710245,-56.28340007,-14.48683847,22.21275317,-46.80623024,30.55516892,4.591982466,61.41510994,-1.674035988,99.82373811,49.02800269,-36.95764974,-82.92271598,13.40679393,57.84116508,-7.283405994,-12.49835274,37.67924924,91.88744823,-93.66798954,58.54384629,88.13136789,-32.34714232,66.94479067,-23.41727732,-90.70031086,89.77598311,-82.30329245,0.079675788,0,1,1,0,1,30.85737909,88.41902071
